title,location,price,bedrooms,bathrooms,link
4 Bed Villa with Garage in Kiambu Road,Kiambu Road,"KSh 30,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kiambu-road-3536211
4 Bed House with Garage at Off Karen Road,"Off Karen Road, Karen","KSh 65,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3546885
4 Bed Villa in Kiambu Road,Kiambu Road,"KSh 34,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kiambu-road-3515118
4 Bed House with Swimming Pool at Ngoigwa Tola,"01, Ngoigwa Tola, Thika Road","KSh 8,790,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-thika-road-3560616
3 Bed House with Garage at Ngoigwa Tola,"01, Ngoigwa Tola, Thika Road","KSh 5,500,000",3,4,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-thika-road-3560582
4 Bed House with Swimming Pool at Ngoigwa Tola,"01, Ngoigwa Tola, Thika Road","KSh 8,750,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-thika-road-3560611
5 Bed Villa with Gym in Lavington,Lavington,"KSh 100,000,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lavington-3562509
Townhouse in Kileleshwa,Kileleshwa,"KSh 330,000,000",5,5,https://www.buyrentkenya.com/listings/townhouse-for-sale-kileleshwa-3562474
5 Bed Townhouse with Garage in Westlands Area,"Westlands Area, Westlands","KSh 42,000,000",5,4,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-westlands-area-3562472
5 Bed Townhouse with Balcony in Lavington,Lavington,"KSh 90,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-10-3451714
3 Bed House with Garage at Ngoigwa Tola,"Ngoigwa Tola, Thika Road","KSh 5,500,000",3,3,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-thika-road-3560538
3 Bed House with Garage at Ngoigwa Tola,"01, Ngoigwa Tola, Thika Road","KSh 5,499,999",3,3,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-thika-road-3560610
5 Bed Townhouse with Balcony in Lower Kabete,"Lower Kabete, Westlands","KSh 95,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lower-kabete-1-3451702
4 Bed Townhouse with Aircon in Westlands Area,"Westlands Area, Westlands","KSh 46,000,000",4,3,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3562491
Townhouse in Runda,"Runda, Westlands","KSh 30,000,000",4,4,https://www.buyrentkenya.com/listings/townhouse-for-sale-runda-3562468
2 Bed House with Garage at Ngoigwa Tola,"Ngoigwa Tola, Thika Road","KSh 5,499,999",2,,https://www.buyrentkenya.com/listings/2-bedroom-house-for-sale-thika-road-3554054
Townhouse in Lavington,Lavington,"KSh 72,000,000",5,5,https://www.buyrentkenya.com/listings/townhouse-for-sale-lavington-3562467
4 Bed Townhouse with Gym in Runda,"Runda, Westlands","KSh 28,500,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-runda-3541460
4 Bed House with Garage at Kerarapon Drive,"Kerarapon Drive, Karen","KSh 34,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3488189
4 Bed House with Garage at Edenville,"00, EdenVille, Kiambu Road","KSh 21,945,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3507742
4 Bed House with Garage at Karen,Karen,"KSh 85,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3559288
2 Bed House at Witeithie,"Witeithie, Thika Road","KSh 3,250,000",2,,https://www.buyrentkenya.com/listings/2-bedroom-house-for-sale-thika-road-3554032
